name,tier,type,attack,movable,rarity,skill,art,quantity,card_no,set_code,release_code,fx,status
Hellhound,1,lava,melee,yes,common,,,1,1,ASH,ASH,vanilla,final
Dungeon Rat,1,dungeon,melee,yes,common,,,1,2,ASH,ASH,vanilla,final
Rummaging Rodent,1,dungeon,melee,yes,common,On Normal Summon: draw 1 card.,,1,3,ASH,ASH,on_normal_summon_draw1,final
Crypt Bat,1,dungeon,melee,yes,common,Swap places with any Unit you control on the board.,,1,4,ASH,ASH,swap_friendly,final
Flaming Jack Rabbit,1,lava,melee,yes,common,"If this card would be discarded or destroyed, shuffle it into your deck instead of sending it to the Discard pile.",,1,5,ASH,ASH,recycle_self,final
Cinder Bat,1,lava,melee,yes,common,On Death: adjacent Lava Dwellers add +1 to their next roll this turn; adjacent non-Lava Dwellers subtract 1 from their next roll this turn.,,1,6,ASH,ASH,death_lava_swing,final
Disembodied Hand,1,dungeon,melee,yes,common,"Roll this Unit's die. On a 1, 3 or 5, look at the top card of your opponent's deck and return it to the top.",,1,7,ASH,ASH,peek_top,final
Skeleton,1,dungeon,melee,yes,common,,,1,8,ASH,ASH,vanilla,final
Skeletal Archer,1,dungeon,ranged,yes,common,,,1,9,ASH,ASH,vanilla,final
Graveyard Wraith,1,dungeon,melee,yes,common,Dungeon Dwellers in the 8 adjacent squares add +1 to their rolls.,,1,10,ASH,ASH,aura_plus1_dungeon,final
Ash Skink,1,lava,melee,yes,common,On Normal Summon: draw 1 card.,,1,11,ASH,ASH,on_normal_summon_draw1,final
Undead Hound,1,dungeon,melee,yes,common,When destroyed: search your deck for a Tier 1 or Tier 2 Dungeon Dweller and add it to your hand.,,1,12,ASH,ASH,death_search_dungeon,final
Ember Wisp,1,lava,ranged,yes,common,When destroyed: search your deck for a Tier 1 or Tier 2 Lava Dweller and add it to your hand.,,1,13,ASH,ASH,death_search_lava,final
Grave Snare,1,dungeon,melee,yes,common,"When this Unit is attacked while face down: after the battle resolves, the attacking Unit subtracts 2 from its next roll this turn.",,1,14,ASH,ASH,trap_debuff2,final
Immolation Trap,1,lava,melee,yes,common,"When this Unit is attacked while face down: after the battle resolves, destroy both this Unit and the attacking Unit.",,1,15,ASH,ASH,trap_mutual_destruct,final
Grave Shifter,1,dungeon,melee,yes,uncommon,"Swap places with any Unit on the board, yours or your opponent's.",,1,16,ASH,ASH,swap_any,final
Immovable Bog,1,dungeon,melee,no,common,Dungeon and Forest Dwellers in the 8 adjacent squares add +1 to their rolls. All other Dweller Types in those squares subtract 3.,,1,17,ASH,ASH,aura_bog,final
Molten Field,1,lava,melee,no,common,"Lava Dwellers in the 8 adjacent squares add +1 to their rolls. At the start of your Recruitment Phase, Special Summon 1 Wisp Token (T1 Lava, ranged, movable, d6) to an empty Barracks square you control.",,1,18,ASH,ASH,aura_lava_and_wisp,final
Cinder Skeleton,1,lava,ranged,yes,common,During your Recruitment Phase: you may attach this card from your hand to an adjacent Lava Dweller you control as a Ride. This does not use your Normal Summon.,,1,19,ASH,ASH,ride_from_hand_lava,final
Bone Diviner,1,dungeon,ranged,yes,uncommon,"Discard this card from your hand, then roll a d6. On 1 to 4, every Unit your opponent controls of the corresponding Tier subtracts 2 from its rolls until the end of their next turn. On 5 or 6, nothing happens.",,1,20,ASH,ASH,bone_diviner,final
Magma Mine,1,lava,ranged,yes,uncommon,"Discard this card from your hand, then roll a d6. On 1 to 4, destroy 1 Unit your opponent controls of the corresponding Tier. On 5 or 6, nothing happens.",,1,21,ASH,ASH,magma_mine,final
Armored Skeleton,2,dungeon,melee,yes,common,,,1,22,ASH,ASH,vanilla,final
Skeleton Archer,2,dungeon,ranged,yes,common,,,1,23,ASH,ASH,vanilla,final
Skeletal Mage,2,dungeon,ranged,yes,common,"Once per turn: roll this Unit's die. On a 7 or 8, mill the top 2 cards of your opponent's deck.",,1,24,ASH,ASH,mage_mill,final
Shallow Grave,2,dungeon,melee,no,common,"Mandatory. Every Recruitment Phase: Special Summon 1 Zombie Token (T1 Dungeon, melee, movable, d6) to an empty Barracks square you control. This is not optional.",,1,25,ASH,ASH,spawn_zombie_mandatory,final
Fire Imp,2,lava,ranged,yes,common,,,1,26,ASH,ASH,vanilla,final
Undead Mare,2,dungeon,melee,yes,common,"If a Tier 1 Unit Rides this card, the stack adds +2 to its roll in battle.",,1,27,ASH,ASH,ridden_by_t1_plus2,final
Ghoul Rider,2,dungeon,melee,yes,common,Sacrifice a Ride stack you control: Special Summon a Unit one Tier higher than the stack's highest Tier from your hand.,,1,28,ASH,ASH,ascend_hand,final
Slagborn,2,lava,melee,yes,common,Sacrifice a Ride stack you control: Special Summon a Unit one Tier higher than the stack's highest Tier from your hand.,,1,29,ASH,ASH,ascend_hand,final
Goblin Bomb Carrier,2,lava,melee,yes,uncommon,When this Unit is destroyed by an opponent's card: add 1 Magma Mine from your deck to your hand.,,1,30,ASH,ASH,death_fetch_mine,final
Flesh Collector,2,dungeon,melee,yes,epic,"Cleave - when this Unit wins a combat roll, also destroy 1 enemy Unit orthogonally adjacent to the Unit it defeated.",,1,31,ASH,ASH,cleave,final
Gargoyle,3,dungeon,melee,yes,uncommon,,,1,32,ASH,ASH,vanilla,final
Dungeon Door,2,dungeon,melee,no,uncommon,"This Unit and adjacent Units you control add +1 to their rolls, regardless of Dweller Type.",,1,33,ASH,ASH,aura_plus1_any_incl_self,final
Charnel Warden,3,dungeon,ranged,yes,uncommon,"Once per turn during your Recruitment Phase: banish 1 card from your Discard pile to Special Summon 1 Zombie Token (T1 Dungeon, melee, movable, d6) to an empty Barracks square you control.",,1,34,ASH,ASH,banish_for_zombie,final
Ashen Lancer,3,dungeon,melee,yes,rare,"When this Unit moves during the Battle Phase, every Unit you control adjacent to it moves the same number of squares in the same direction. This does not use those Units' own movement.",,1,35,ASH,ASH,formation_move,final
Ash Golem,3,lava,melee,yes,rare,This Unit adds +1 to its roll for each Wisp Token adjacent to it.,,1,36,ASH,ASH,wisp_scaling,final
